frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.960,0.709,0.465,0.013,-0.027,0.098,0.019,0.085,0.165,-0.073,-0.009,0.104,-0.011,0.062,-0.015
2,0.033,0.959,0.703,0.471,0.003,-0.009,0.144,0.023,0.063,0.260,-0.050,-0.015,0.123,-0.040,0.068,-0.006
3,0.067,0.962,0.708,0.475,0.008,-0.002,0.121,0.031,0.099,0.262,-0.063,-0.010,0.105,-0.049,0.057,-0.022
4,0.100,0.961,0.707,0.490,0.005,0.030,0.138,0.013,0.072,0.137,-0.064,-0.013,0.113,-0.036,0.057,0.023
5,0.133,0.951,0.696,0.525,0.067,0.033,0.132,-0.002,0.022,0.118,-0.114,-0.051,0.101,-0.024,0.058,0.064
6,0.167,0.953,0.700,0.581,0.043,-0.005,0.148,0.002,0.066,0.134,-0.078,-0.048,0.069,-0.050,0.036,0.057
7,0.200,0.963,0.711,0.678,0.022,0.035,0.160,-0.019,0.030,0.107,-0.101,-0.119,0.022,-0.045,0.074,0.040
8,0.233,0.955,0.745,0.754,0.063,-0.094,0.153,-0.036,0.003,0.029,0.014,-0.055,0.009,-0.079,0.011,-0.031
9,0.267,0.942,0.773,0.818,0.112,-0.000,-0.028,-0.084,0.026,0.051,0.023,-0.037,0.085,0.049,0.326,0.410
10,0.300,0.945,0.851,0.841,0.130,0.088,0.031,0.080,0.027,0.013,0.244,-0.073,0.097,-0.135,-0.024,0.266
11,0.333,0.928,0.882,0.875,0.191,0.126,0.034,0.114,0.231,0.046,0.466,-0.049,0.116,-0.009,0.007,0.180
12,0.367,0.904,0.896,0.909,0.159,0.185,-0.049,0.004,0.189,-0.005,0.714,-0.001,0.023,-0.114,0.187,-0.034
13,0.400,0.906,0.940,0.917,-0.013,0.019,-0.042,0.037,0.176,-0.037,1.032,0.010,0.083,-0.070,0.188,-0.172
14,0.433,0.901,0.992,0.927,-0.015,0.004,-0.019,0.041,0.280,0.012,1.115,0.036,0.186,-0.011,0.135,-0.119
15,0.467,0.895,0.975,0.923,-0.012,-0.004,-0.069,0.035,0.187,-0.013,1.093,0.018,0.133,-0.027,0.178,-0.138
16,0.500,0.892,0.981,0.917,-0.014,0.000,-0.043,0.053,0.226,-0.036,1.023,0.036,0.135,-0.066,0.196,-0.158
17,0.533,0.890,0.987,0.923,-0.011,0.019,-0.085,0.060,0.206,-0.033,0.983,0.017,0.141,-0.036,0.195,-0.107
18,0.567,0.896,0.990,0.925,0.015,0.053,-0.053,0.060,0.293,0.005,1.067,0.011,0.151,-0.019,0.118,-0.074
19,0.600,0.888,0.921,0.908,0.106,0.173,-0.020,0.022,0.104,-0.010,1.131,0.081,0.153,0.024,0.115,-0.171
20,0.633,0.903,0.876,0.893,0.129,0.106,0.072,0.082,0.170,0.021,0.624,0.082,0.091,-0.042,0.121,-0.149
21,0.667,0.917,0.868,0.877,0.166,0.052,0.139,0.055,0.114,0.078,0.302,-0.006,0.086,-0.064,0.191,-0.098
22,0.700,0.915,0.859,0.852,0.170,-0.026,0.237,0.037,0.060,0.046,0.265,-0.029,0.185,-0.054,0.238,0.264
23,0.733,0.935,0.850,0.837,0.165,0.028,0.238,0.081,-0.002,0.028,0.186,-0.055,0.149,-0.028,0.046,0.078
24,0.767,0.942,0.820,0.819,0.246,0.139,0.050,0.147,-0.041,-0.038,0.260,-0.116,0.141,-0.123,0.046,0.158
25,0.800,0.942,0.818,0.775,0.286,0.036,0.401,0.336,-0.098,0.049,-0.008,-0.113,0.117,0.009,0.058,0.056
26,0.833,0.954,0.794,0.760,0.252,0.087,0.124,0.467,-0.087,0.012,-0.096,-0.041,-0.011,0.038,0.054,-0.102
27,0.867,0.955,0.779,0.741,0.160,-0.030,0.091,0.478,-0.024,0.054,-0.114,-0.097,-0.043,-0.016,-0.013,0.007
28,0.900,0.950,0.764,0.713,0.115,-0.087,0.175,0.439,0.004,0.039,-0.092,-0.054,0.049,0.021,0.014,-0.035
29,0.933,0.954,0.749,0.690,0.123,-0.041,0.264,0.356,-0.006,0.061,-0.030,-0.053,0.034,-0.020,0.016,0.027
30,0.967,0.959,0.720,0.678,0.079,-0.075,0.200,0.698,-0.016,0.081,-0.039,-0.023,0.069,0.015,-0.005,0.027
31,1.000,0.962,0.714,0.659,0.046,-0.020,0.167,0.675,0.000,0.100,-0.087,-0.024,0.110,0.018,0.026,0.046
32,1.033,0.959,0.716,0.646,0.013,-0.025,0.131,0.507,-0.011,0.133,-0.125,0.016,0.097,0.024,0.046,0.080
33,1.067,0.958,0.713,0.636,0.015,0.047,0.089,0.539,0.007,0.122,-0.082,0.004,0.146,0.013,0.052,0.040
34,1.100,0.954,0.708,0.630,-0.005,0.071,0.018,0.176,0.002,0.087,-0.083,-0.022,0.121,-0.020,0.038,0.077
35,1.133,0.951,0.699,0.622,0.013,0.061,0.001,0.194,0.003,0.138,-0.118,-0.033,0.064,-0.043,0.047,0.178
36,1.167,0.953,0.703,0.616,0.019,0.032,0.078,0.248,0.040,0.119,-0.107,-0.046,0.060,-0.015,0.032,0.099
37,1.200,0.955,0.691,0.620,0.067,0.037,0.043,0.285,-0.092,0.104,-0.146,-0.020,0.064,-0.032,0.049,0.251
38,1.233,0.956,0.697,0.612,0.053,0.047,-0.006,0.211,-0.121,0.063,-0.149,-0.013,0.091,-0.025,0.191,0.384
39,1.267,0.955,0.695,0.613,0.129,0.096,-0.002,0.330,-0.106,0.062,-0.160,-0.011,0.121,-0.008,0.160,0.258
40,1.300,0.955,0.695,0.610,0.173,0.141,0.017,0.548,-0.075,0.072,-0.175,-0.026,0.111,0.014,0.040,0.185
41,1.333,0.954,0.697,0.600,0.295,0.254,-0.024,0.633,-0.082,0.115,-0.174,-0.020,0.080,-0.002,0.063,0.239
42,1.367,0.953,0.698,0.593,0.184,0.161,0.049,0.632,-0.061,0.108,-0.143,-0.002,0.051,0.026,0.011,0.194
43,1.400,0.952,0.695,0.590,0.128,0.057,0.037,0.550,-0.043,0.130,-0.082,0.006,0.104,0.027,0.017,0.149
44,1.433,0.951,0.696,0.592,0.103,0.048,0.025,0.419,-0.052,0.126,-0.123,0.007,0.111,0.026,0.025,0.201
45,1.467,0.952,0.695,0.584,0.138,0.075,0.016,0.637,-0.046,0.124,-0.144,-0.015,0.098,0.026,-0.022,0.170
46,1.500,0.951,0.695,0.572,0.160,0.080,0.015,0.564,-0.013,0.124,-0.081,0.014,0.093,-0.047,-0.077,0.117
47,1.533,0.952,0.695,0.569,0.099,0.032,0.094,0.253,-0.028,0.119,-0.098,-0.018,0.118,-0.008,-0.045,0.119
48,1.567,0.953,0.693,0.571,0.084,-0.012,0.070,0.446,-0.008,0.099,-0.092,-0.009,0.078,-0.008,-0.059,0.124
49,1.600,0.954,0.693,0.559,0.224,0.133,0.019,0.916,-0.001,0.108,-0.083,0.017,0.110,-0.091,-0.015,0.468
50,1.633,0.955,0.697,0.563,0.173,0.102,0.018,0.949,0.003,0.082,-0.079,0.033,0.134,-0.064,-0.003,0.575
51,1.667,0.956,0.689,0.568,0.066,0.003,0.034,0.411,-0.003,0.092,-0.071,0.016,0.107,-0.052,0.032,0.662
52,1.700,0.957,0.690,0.565,0.091,0.042,0.035,0.422,-0.030,0.121,-0.094,0.013,0.077,-0.046,0.011,0.426
53,1.733,0.956,0.694,0.565,0.092,0.043,-0.007,0.355,-0.026,0.110,-0.095,0.016,0.101,-0.060,0.151,0.612
54,1.767,0.956,0.692,0.560,0.084,0.018,-0.009,0.317,-0.019,0.089,-0.106,-0.021,0.111,-0.017,0.025,0.467
55,1.800,0.955,0.694,0.561,0.070,-0.002,0.002,0.272,-0.032,0.102,-0.083,-0.050,0.082,-0.019,-0.004,0.241
56,1.833,0.957,0.691,0.557,0.098,0.042,0.023,0.326,-0.039,0.136,-0.098,-0.047,0.078,-0.014,-0.004,0.268
57,1.867,0.955,0.687,0.549,0.031,0.005,0.110,-0.085,-0.007,0.091,-0.090,-0.048,0.143,0.018,0.000,0.138
58,1.900,0.956,0.640,0.554,0.140,0.094,0.094,-0.062,0.003,0.109,-0.091,-0.024,0.134,-0.044,-0.009,0.038
59,1.933,0.957,0.638,0.554,0.427,0.367,0.060,-0.085,0.003,0.081,-0.110,-0.014,0.163,-0.088,-0.017,0.040
60,1.967,0.958,0.665,0.550,0.093,-0.019,0.138,-0.068,0.054,0.104,-0.087,-0.029,0.178,-0.042,-0.005,0.101
61,2.000,0.952,0.673,0.549,0.082,0.015,0.160,-0.014,0.022,0.089,-0.061,-0.036,0.147,-0.034,0.011,0.042
62,2.033,0.954,0.691,0.542,0.051,-0.016,0.167,0.001,0.012,0.112,-0.062,-0.041,0.150,-0.035,0.035,0.046
63,2.067,0.955,0.687,0.541,0.061,0.013,0.143,0.026,0.009,0.110,-0.056,-0.039,0.116,-0.032,0.029,0.053
64,2.100,0.952,0.700,0.540,0.029,0.002,0.143,0.038,0.008,0.088,-0.074,-0.031,0.107,-0.023,0.051,0.049
65,2.133,0.952,0.701,0.539,0.037,-0.006,0.101,0.008,0.014,0.097,-0.088,-0.033,0.100,-0.016,0.031,0.075
66,2.167,0.950,0.701,0.540,0.058,-0.028,0.165,0.005,0.023,0.079,-0.052,-0.022,0.128,-0.006,0.015,0.035
67,2.200,0.951,0.706,0.541,0.058,-0.024,0.132,-0.004,0.029,0.074,-0.060,-0.038,0.125,-0.029,0.038,0.034
68,2.233,0.952,0.710,0.540,0.065,-0.005,0.114,0.005,0.019,0.101,-0.099,-0.041,0.118,-0.017,0.033,0.032
69,2.267,0.951,0.699,0.534,0.051,-0.013,0.112,-0.032,0.022,0.099,-0.076,-0.048,0.118,-0.005,0.022,0.042
70,2.300,0.952,0.684,0.547,0.044,0.002,0.108,0.005,0.022,0.104,-0.094,-0.038,0.111,-0.021,0.016,0.039
71,2.333,0.955,0.691,0.539,0.042,0.003,0.086,-0.009,0.025,0.107,-0.093,-0.034,0.110,-0.001,0.020,0.040
72,2.367,0.955,0.688,0.548,0.042,0.004,0.084,-0.029,0.036,0.116,-0.088,-0.015,0.114,-0.006,0.040,0.081
73,2.400,0.952,0.691,0.538,0.031,0.034,0.122,-0.017,0.025,0.121,-0.109,0.011,0.113,-0.002,-0.025,0.047
74,2.433,0.956,0.691,0.533,0.046,0.027,0.119,-0.021,0.023,0.105,-0.113,0.020,0.113,0.005,-0.025,0.086
75,2.467,0.956,0.683,0.537,0.044,0.021,0.123,-0.027,0.018,0.108,-0.097,0.010,0.131,0.005,-0.029,0.069
76,2.500,0.958,0.692,0.534,0.045,0.005,0.117,-0.028,0.012,0.103,-0.101,0.008,0.126,0.003,-0.027,0.107
77,2.533,0.957,0.693,0.533,0.041,0.011,0.093,-0.027,0.015,0.104,-0.110,0.010,0.115,0.007,-0.028,0.123
78,2.567,0.957,0.685,0.540,0.039,0.037,0.071,0.006,0.037,0.109,-0.104,0.020,0.115,-0.025,-0.038,0.164
79,2.600,0.958,0.680,0.534,0.014,-0.025,0.101,-0.066,0.032,0.072,-0.076,-0.015,0.134,-0.024,-0.031,0.119
80,2.633,0.957,0.681,0.540,0.036,-0.020,0.104,-0.075,0.035,0.086,-0.091,-0.015,0.142,-0.034,-0.033,0.082
81,2.667,0.958,0.672,0.536,0.026,-0.022,0.090,-0.065,0.037,0.088,-0.085,-0.004,0.146,-0.033,-0.038,0.080
82,2.700,0.957,0.668,0.540,0.025,-0.013,0.069,-0.077,0.025,0.101,-0.128,-0.019,0.099,-0.064,-0.015,0.100
83,2.733,0.956,0.663,0.536,0.029,-0.020,0.081,-0.051,0.046,0.099,-0.123,0.004,0.106,-0.054,-0.025,0.110
84,2.767,0.956,0.667,0.541,0.034,-0.003,0.074,-0.063,0.031,0.114,-0.130,-0.018,0.092,-0.049,0.005,0.142
85,2.800,0.957,0.668,0.546,0.061,0.041,0.032,-0.095,0.016,0.100,-0.192,0.010,0.096,-0.067,0.040,0.006
86,2.833,0.955,0.670,0.545,0.076,0.001,0.092,-0.084,0.071,0.097,-0.081,-0.016,0.160,-0.041,-0.079,0.031
87,2.867,0.955,0.663,0.550,0.087,0.000,0.120,-0.089,0.068,0.102,-0.091,-0.018,0.160,-0.046,-0.062,0.009
88,2.900,0.954,0.663,0.547,0.060,-0.023,0.100,-0.086,0.065,0.103,-0.085,-0.014,0.167,-0.029,-0.068,0.029
89,2.933,0.953,0.664,0.547,0.037,-0.012,0.112,-0.091,0.047,0.094,-0.066,0.011,0.194,-0.034,-0.065,0.019
90,2.967,0.955,0.659,0.551,0.067,0.016,0.115,-0.067,0.042,0.104,-0.090,0.012,0.185,-0.039,-0.048,0.032
91,3.000,0.954,0.668,0.551,0.117,0.061,0.115,-0.047,0.033,0.137,-0.117,0.004,0.163,-0.049,-0.006,0.041
92,3.033,0.954,0.666,0.550,0.114,0.032,0.117,-0.038,0.030,0.125,-0.095,-0.001,0.145,-0.022,-0.020,0.060
93,3.067,0.951,0.685,0.543,0.071,0.025,0.107,-0.018,0.044,0.107,-0.102,-0.006,0.136,-0.020,-0.028,0.083
94,3.100,0.956,0.686,0.532,0.074,0.032,0.149,0.010,0.052,0.118,-0.070,0.017,0.142,-0.012,0.032,0.072
95,3.133,0.955,0.678,0.531,0.101,0.054,0.164,0.041,0.041,0.121,-0.100,-0.011,0.081,-0.039,0.037,0.080
96,3.167,0.953,0.687,0.530,0.073,0.038,0.165,0.015,0.018,0.120,-0.066,-0.019,0.106,-0.025,0.044,0.054
97,3.200,0.950,0.693,0.522,0.119,0.069,0.137,-0.002,0.026,0.152,-0.071,-0.004,0.132,-0.027,0.029,0.074
98,3.233,0.948,0.710,0.527,0.083,0.081,0.132,0.038,0.038,0.154,-0.098,0.005,0.088,-0.020,0.040,0.076
99,3.267,0.948,0.703,0.531,0.105,0.092,0.139,0.013,0.024,0.146,-0.078,-0.022,0.088,-0.054,0.074,0.081
100,3.300,0.950,0.695,0.532,0.161,0.118,0.118,0.148,0.019,0.139,-0.116,0.002,0.062,-0.038,0.045,0.063
101,3.333,0.953,0.699,0.538,0.133,0.101,0.121,0.086,0.004,0.141,-0.091,0.009,0.088,-0.064,0.086,0.071
102,3.367,0.951,0.697,0.535,0.110,0.083,0.116,0.084,0.001,0.141,-0.097,0.002,0.102,-0.040,0.067,0.066
103,3.400,0.952,0.692,0.541,0.078,0.037,0.119,0.036,0.002,0.145,-0.054,-0.006,0.107,-0.026,0.048,0.072
104,3.433,0.951,0.690,0.540,0.085,0.052,0.122,0.009,0.004,0.137,-0.058,0.000,0.103,-0.031,0.066,0.077
105,3.467,0.951,0.689,0.542,0.060,0.007,0.110,0.020,0.011,0.128,-0.040,-0.013,0.123,-0.024,0.052,0.066
106,3.500,0.953,0.691,0.539,0.067,0.009,0.122,0.030,0.016,0.139,-0.087,-0.020,0.079,-0.016,0.053,0.074
107,3.533,0.954,0.690,0.537,0.096,0.039,0.107,0.080,0.008,0.125,-0.099,-0.032,0.082,-0.009,0.057,0.067
108,3.567,0.955,0.691,0.538,0.083,0.025,0.100,0.032,0.023,0.114,-0.058,-0.015,0.134,-0.019,0.054,0.047
109,3.600,0.953,0.685,0.531,0.063,0.060,0.113,0.068,0.014,0.158,-0.079,0.007,0.088,-0.015,0.045,0.061
110,3.633,0.957,0.686,0.530,0.060,0.040,0.126,0.066,0.005,0.167,-0.078,-0.002,0.084,-0.019,0.042,0.041
111,3.667,0.958,0.687,0.529,0.071,0.050,0.133,0.080,0.003,0.154,-0.087,0.003,0.106,-0.006,0.044,0.037
112,3.700,0.958,0.682,0.531,0.045,0.043,0.140,0.038,0.016,0.159,-0.076,0.013,0.133,0.009,0.044,0.041
113,3.733,0.961,0.686,0.524,0.034,0.052,0.150,-0.001,0.030,0.147,-0.034,0.020,0.156,-0.006,0.046,0.033
114,3.767,0.958,0.691,0.518,0.036,0.058,0.142,0.009,0.009,0.145,-0.057,0.004,0.122,0.015,0.009,0.042
115,3.800,0.957,0.686,0.528,0.069,0.058,0.156,0.069,0.032,0.168,-0.047,-0.002,0.077,-0.024,0.045,0.049
116,3.833,0.954,0.688,0.524,0.066,0.052,0.166,0.036,0.019,0.130,-0.071,-0.015,0.098,-0.016,0.036,0.042
117,3.867,0.957,0.684,0.522,0.062,0.056,0.174,-0.071,0.039,0.146,-0.070,-0.004,0.132,0.016,0.009,0.033
118,3.900,0.951,0.640,0.522,0.088,0.104,0.191,-0.049,0.024,0.115,-0.052,-0.019,0.149,-0.029,-0.004,0.032
119,3.933,0.950,0.648,0.524,0.081,0.076,0.179,-0.062,0.003,0.091,-0.044,-0.021,0.179,-0.049,-0.013,0.023
120,3.967,0.950,0.647,0.525,0.102,0.085,0.143,-0.109,0.018,0.103,-0.041,0.021,0.268,-0.031,-0.001,0.022
121,4.000,0.950,0.669,0.520,0.055,-0.000,0.170,-0.031,0.050,0.112,-0.076,-0.005,0.156,-0.037,-0.029,-0.025
122,4.033,0.950,0.690,0.518,0.038,-0.004,0.191,-0.048,0.059,0.098,-0.071,-0.029,0.157,0.002,-0.047,-0.024
123,4.067,0.952,0.690,0.517,0.038,-0.015,0.169,-0.069,0.060,0.100,-0.060,-0.016,0.196,-0.004,-0.044,0.007
124,4.100,0.950,0.698,0.519,0.025,0.007,0.185,-0.043,0.049,0.091,-0.040,-0.012,0.167,-0.002,-0.036,-0.012
125,4.133,0.950,0.700,0.520,0.044,0.024,0.174,-0.021,0.056,0.093,-0.042,0.008,0.151,0.001,-0.036,-0.005
126,4.167,0.951,0.701,0.516,0.048,0.018,0.196,-0.021,0.051,0.084,-0.052,-0.000,0.150,-0.016,-0.048,-0.019
127,4.200,0.950,0.699,0.519,0.057,0.034,0.206,-0.009,0.054,0.096,-0.055,0.014,0.148,-0.001,-0.033,-0.020
128,4.233,0.950,0.702,0.522,0.065,0.026,0.200,0.026,0.057,0.092,-0.059,-0.018,0.128,-0.014,-0.041,-0.024
129,4.267,0.949,0.702,0.520,0.071,0.017,0.212,0.044,0.048,0.103,-0.047,-0.007,0.117,-0.018,-0.020,-0.031
130,4.300,0.951,0.703,0.521,0.039,-0.027,0.214,-0.006,0.027,0.132,0.000,0.006,0.117,0.006,0.012,0.024
131,4.333,0.950,0.704,0.518,0.070,-0.014,0.256,-0.002,0.045,0.132,-0.024,-0.009,0.087,-0.031,0.019,-0.007
132,4.367,0.949,0.708,0.520,0.063,-0.016,0.241,-0.013,0.033,0.126,-0.053,-0.003,0.088,-0.026,0.021,0.020
133,4.400,0.950,0.706,0.510,0.067,-0.001,0.175,0.017,0.071,0.119,-0.024,0.034,0.098,-0.012,0.017,0.032
134,4.433,0.948,0.702,0.511,0.066,0.008,0.158,0.036,0.088,0.132,-0.044,0.028,0.103,-0.008,0.012,0.065
135,4.467,0.948,0.700,0.508,0.056,0.024,0.155,0.043,0.096,0.137,-0.036,0.018,0.102,-0.011,0.005,0.056
