frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.97,0.75,0.63,0.24,0.26,-0.03,0.09,0.15,0.11,0.50,0.08,0.06,0.03,1.20,0.84
2,0.033,0.96,0.75,0.63,0.23,0.24,-0.07,0.08,0.18,0.11,0.52,0.10,0.04,0.05,1.10,0.72
3,0.067,0.96,0.76,0.63,0.18,0.20,-0.03,0.11,0.18,0.15,0.45,0.09,0.02,0.04,1.13,0.77
4,0.100,0.96,0.77,0.62,0.15,0.23,0.03,0.12,0.16,0.21,0.48,0.12,0.01,0.02,1.21,0.83
5,0.133,0.96,0.77,0.62,0.23,0.32,0.05,0.24,0.14,0.17,0.41,0.12,0.07,-0.03,1.19,0.82
6,0.167,0.96,0.77,0.62,0.33,0.44,0.05,0.26,0.17,0.16,0.44,0.12,0.06,-0.00,1.20,0.82
7,0.200,0.96,0.76,0.61,0.44,0.61,0.13,0.37,0.17,0.16,0.45,0.11,0.06,-0.01,1.25,0.91
8,0.233,0.97,0.77,0.60,0.50,0.72,0.02,0.39,0.13,0.11,0.45,0.10,0.04,-0.02,1.25,0.81
9,0.267,0.97,0.77,0.59,0.61,0.81,0.09,0.53,0.12,0.10,0.48,0.07,0.03,-0.03,1.29,0.84
10,0.300,0.97,0.76,0.58,0.53,0.72,0.12,0.56,0.14,0.14,0.47,0.07,0.01,-0.06,1.31,0.73
11,0.333,0.97,0.76,0.58,0.58,0.76,0.19,0.59,0.12,0.15,0.40,0.06,0.01,-0.02,1.38,0.84
12,0.367,0.98,0.76,0.57,0.37,0.57,0.16,0.52,0.15,0.23,0.42,0.10,-0.00,-0.04,1.46,0.92
13,0.400,0.98,0.76,0.57,0.52,0.75,0.11,0.61,0.14,0.19,0.40,0.06,0.01,-0.02,1.42,0.71
14,0.433,0.96,0.76,0.56,0.45,0.75,0.10,0.48,0.14,0.18,0.38,0.06,0.04,-0.04,1.41,0.68
15,0.467,0.97,0.75,0.55,0.51,0.79,0.18,0.54,0.11,0.19,0.35,0.07,0.08,-0.08,1.39,0.66
16,0.500,0.97,0.76,0.55,0.57,0.82,0.12,0.52,0.16,0.17,0.40,0.07,0.11,-0.10,1.43,0.67
17,0.533,0.97,0.76,0.55,0.58,0.84,0.21,0.53,0.17,0.23,0.33,0.08,0.09,-0.05,1.46,0.67
18,0.567,0.97,0.76,0.54,0.58,0.76,0.00,0.48,0.21,0.16,0.42,0.04,0.11,-0.03,1.45,0.68
19,0.600,0.97,0.75,0.55,0.55,0.77,0.00,0.51,0.17,0.17,0.36,0.06,0.09,-0.06,1.46,0.69
20,0.633,0.97,0.75,0.54,0.51,0.70,0.04,0.48,0.19,0.22,0.31,0.07,0.08,-0.02,1.56,0.74
21,0.667,0.97,0.75,0.54,0.60,0.78,0.12,0.53,0.22,0.24,0.42,0.06,0.06,0.00,1.62,0.83
22,0.700,0.97,0.75,0.54,0.67,0.85,0.10,0.57,0.20,0.22,0.34,0.03,0.08,-0.03,1.68,0.80
23,0.733,0.97,0.75,0.53,0.57,0.71,0.10,0.50,0.21,0.24,0.40,0.05,0.08,0.01,1.63,0.89
24,0.767,0.97,0.74,0.53,0.63,0.76,0.08,0.47,0.18,0.24,0.35,0.06,0.07,0.02,1.69,0.92
25,0.800,0.97,0.75,0.53,0.62,0.72,0.09,0.52,0.23,0.25,0.29,0.06,0.09,-0.00,1.73,0.94
26,0.833,0.97,0.74,0.53,0.62,0.76,0.09,0.51,0.24,0.26,0.34,0.07,0.09,0.00,1.79,1.01
27,0.867,0.97,0.74,0.53,0.49,0.62,0.05,0.24,0.23,0.18,0.29,0.05,0.09,-0.01,1.73,0.81
28,0.900,0.97,0.73,0.53,0.50,0.56,-0.02,0.11,0.28,0.15,0.34,0.03,0.09,-0.00,1.73,0.80
29,0.933,0.97,0.73,0.55,0.52,0.66,0.06,0.18,0.30,0.22,0.46,0.02,0.10,0.02,1.76,0.86
30,0.967,0.97,0.73,0.55,0.54,0.63,0.02,0.13,0.33,0.20,0.45,0.02,0.09,0.02,1.75,0.85
31,1.000,0.97,0.72,0.55,0.60,0.67,-0.06,0.19,0.37,0.20,0.45,0.06,0.11,0.05,1.84,1.07
32,1.033,0.97,0.73,0.54,0.43,0.52,0.02,0.22,0.34,0.20,0.43,0.03,0.11,0.07,1.80,1.05
33,1.067,0.97,0.73,0.55,0.36,0.42,-0.02,0.19,0.34,0.19,0.44,0.06,0.09,0.06,1.77,1.05
34,1.100,0.97,0.73,0.55,0.38,0.42,-0.02,0.17,0.35,0.18,0.44,0.07,0.08,0.05,1.84,1.08
35,1.133,0.97,0.73,0.55,0.33,0.44,-0.03,0.15,0.28,0.15,0.43,0.05,0.09,0.04,1.81,0.92
36,1.167,0.97,0.74,0.54,0.29,0.35,0.00,0.16,0.37,0.19,0.43,0.07,0.07,0.05,1.77,0.97
37,1.200,0.97,0.74,0.56,0.34,0.36,0.06,0.14,0.41,0.24,0.38,0.11,0.10,0.04,1.74,1.03
38,1.233,0.97,0.74,0.55,0.43,0.46,0.06,0.20,0.38,0.22,0.41,0.12,0.10,0.05,1.75,1.09
39,1.267,0.97,0.74,0.56,0.45,0.52,0.02,0.29,0.35,0.19,0.44,0.09,0.09,0.03,1.74,0.95
40,1.300,0.97,0.74,0.56,0.41,0.48,0.09,0.24,0.38,0.22,0.43,0.11,0.11,0.06,1.79,0.97
41,1.333,0.97,0.74,0.55,0.36,0.40,0.03,0.25,0.35,0.19,0.40,0.09,0.12,0.05,1.75,0.95
42,1.367,0.97,0.74,0.55,0.36,0.39,0.00,0.27,0.37,0.20,0.44,0.09,0.10,0.05,1.76,0.90
43,1.400,0.97,0.74,0.55,0.37,0.43,0.01,0.30,0.29,0.19,0.36,0.07,0.11,0.01,1.73,0.87
44,1.433,0.97,0.74,0.55,0.33,0.42,0.04,0.30,0.37,0.24,0.40,0.08,0.11,0.03,1.76,0.90
45,1.467,0.96,0.74,0.55,0.37,0.47,0.02,0.28,0.38,0.23,0.43,0.10,0.11,0.05,1.76,0.96
46,1.500,0.97,0.74,0.55,0.39,0.50,-0.05,0.30,0.35,0.18,0.45,0.06,0.09,0.03,1.77,0.82
47,1.533,0.97,0.74,0.55,0.42,0.53,0.02,0.32,0.33,0.22,0.40,0.06,0.08,0.03,1.77,0.80
48,1.567,0.97,0.74,0.56,0.36,0.47,0.00,0.30,0.41,0.23,0.48,0.08,0.10,0.05,1.77,0.76
49,1.600,0.96,0.74,0.56,0.43,0.56,-0.01,0.36,0.37,0.20,0.47,0.07,0.06,0.04,1.77,0.81
50,1.633,0.96,0.74,0.56,0.44,0.57,0.01,0.35,0.35,0.21,0.48,0.08,0.07,0.02,1.74,0.84
51,1.667,0.96,0.74,0.56,0.42,0.52,0.05,0.29,0.41,0.21,0.47,0.10,0.05,0.05,1.76,0.87
52,1.700,0.96,0.74,0.56,0.38,0.43,0.06,0.25,0.40,0.25,0.46,0.08,0.04,0.04,1.75,0.72
53,1.733,0.97,0.74,0.57,0.39,0.48,0.11,0.31,0.40,0.23,0.46,0.09,0.04,0.10,1.77,0.75
54,1.767,0.96,0.74,0.57,0.31,0.37,0.04,0.26,0.40,0.23,0.43,0.10,0.05,0.06,1.74,0.66
55,1.800,0.97,0.74,0.57,0.35,0.41,0.05,0.28,0.36,0.22,0.44,0.08,0.05,0.06,1.74,0.62
56,1.833,0.97,0.74,0.57,0.35,0.44,0.02,0.35,0.41,0.21,0.46,0.11,0.05,0.08,1.76,0.87
57,1.867,0.96,0.74,0.56,0.37,0.46,0.01,0.35,0.39,0.19,0.45,0.11,0.06,0.09,1.74,0.83
58,1.900,0.97,0.74,0.56,0.43,0.55,0.03,0.33,0.43,0.19,0.50,0.10,0.06,0.09,1.77,0.78
59,1.933,0.97,0.74,0.57,0.36,0.45,0.03,0.30,0.39,0.20,0.54,0.08,0.06,0.05,1.76,0.67
60,1.967,0.97,0.74,0.57,0.41,0.58,0.09,0.34,0.43,0.22,0.60,0.07,0.07,0.10,1.78,0.65
61,2.000,0.97,0.74,0.56,0.37,0.47,0.07,0.30,0.43,0.25,0.56,0.09,0.09,0.08,1.70,0.62
62,2.033,0.97,0.74,0.56,0.46,0.59,0.06,0.34,0.48,0.24,0.58,0.11,0.10,0.14,1.69,0.67
63,2.067,0.97,0.74,0.56,0.39,0.51,0.05,0.32,0.49,0.23,0.60,0.11,0.09,0.13,1.70,0.68
64,2.100,0.97,0.74,0.56,0.44,0.54,0.10,0.35,0.48,0.26,0.56,0.10,0.08,0.11,1.69,0.67
65,2.133,0.97,0.74,0.56,0.37,0.51,0.10,0.30,0.48,0.24,0.54,0.10,0.09,0.13,1.69,0.66
66,2.167,0.97,0.74,0.56,0.33,0.44,0.10,0.29,0.49,0.24,0.57,0.10,0.08,0.12,1.71,0.69
67,2.200,0.97,0.74,0.56,0.36,0.47,0.09,0.29,0.47,0.22,0.57,0.10,0.08,0.11,1.69,0.70
68,2.233,0.97,0.73,0.56,0.25,0.34,0.05,0.22,0.37,0.19,0.53,0.06,0.06,0.09,1.67,0.53
69,2.267,0.97,0.74,0.56,0.27,0.36,0.09,0.25,0.40,0.18,0.56,0.05,0.09,0.09,1.69,0.50
70,2.300,0.96,0.74,0.56,0.29,0.38,0.05,0.28,0.39,0.18,0.58,0.06,0.08,0.08,1.74,0.54
71,2.333,0.97,0.74,0.56,0.32,0.39,0.06,0.29,0.38,0.18,0.57,0.07,0.08,0.05,1.75,0.58
72,2.367,0.97,0.74,0.56,0.30,0.37,0.04,0.29,0.38,0.19,0.61,0.06,0.08,0.08,1.70,0.48
73,2.400,0.97,0.74,0.56,0.35,0.41,0.09,0.30,0.44,0.22,0.60,0.07,0.07,0.09,1.72,0.61
74,2.433,0.97,0.73,0.56,0.36,0.48,0.12,0.29,0.45,0.20,0.61,0.07,0.07,0.09,1.72,0.65
75,2.467,0.97,0.74,0.56,0.37,0.46,0.11,0.28,0.45,0.20,0.63,0.06,0.04,0.11,1.68,0.58
76,2.500,0.97,0.74,0.56,0.33,0.41,0.05,0.30,0.45,0.17,0.65,0.06,0.05,0.12,1.66,0.54
77,2.533,0.97,0.74,0.56,0.32,0.42,0.08,0.32,0.43,0.20,0.65,0.07,0.05,0.11,1.67,0.54
78,2.567,0.97,0.74,0.55,0.31,0.37,0.09,0.28,0.50,0.21,0.61,0.07,0.06,0.11,1.69,0.58
79,2.600,0.97,0.74,0.56,0.31,0.40,0.09,0.30,0.55,0.21,0.63,0.06,0.06,0.11,1.73,0.56
80,2.633,0.97,0.74,0.56,0.36,0.46,0.03,0.33,0.56,0.17,0.64,0.06,0.06,0.13,1.65,0.52
81,2.667,0.97,0.74,0.56,0.33,0.41,0.05,0.30,0.57,0.18,0.62,0.07,0.06,0.13,1.70,0.56
82,2.700,0.97,0.74,0.56,0.39,0.47,0.06,0.32,0.58,0.20,0.62,0.08,0.06,0.13,1.75,0.62
83,2.733,0.97,0.74,0.56,0.37,0.45,0.12,0.31,0.53,0.24,0.56,0.05,0.09,0.08,1.81,0.58
84,2.767,0.97,0.74,0.56,0.35,0.44,0.14,0.30,0.53,0.24,0.61,0.05,0.10,0.09,1.80,0.61
85,2.800,0.96,0.74,0.56,0.34,0.47,0.08,0.31,0.59,0.21,0.60,0.08,0.08,0.14,1.82,0.63
86,2.833,0.96,0.74,0.57,0.32,0.47,0.07,0.31,0.60,0.20,0.61,0.09,0.08,0.12,1.78,0.61
87,2.867,0.96,0.74,0.57,0.36,0.48,0.07,0.31,0.61,0.20,0.65,0.09,0.09,0.13,1.79,0.57
88,2.900,0.96,0.74,0.57,0.35,0.45,0.11,0.31,0.56,0.23,0.68,0.07,0.08,0.13,1.81,0.54
89,2.933,0.96,0.74,0.57,0.35,0.45,0.11,0.31,0.54,0.23,0.67,0.07,0.08,0.12,1.83,0.56
90,2.967,0.96,0.74,0.57,0.37,0.47,0.12,0.32,0.55,0.23,0.67,0.07,0.09,0.11,1.84,0.57
91,3.000,0.96,0.74,0.57,0.42,0.54,0.09,0.31,0.55,0.23,0.72,0.08,0.09,0.13,1.83,0.59
92,3.033,0.96,0.74,0.57,0.37,0.50,0.10,0.36,0.54,0.23,0.69,0.08,0.06,0.12,1.84,0.67
93,3.067,0.96,0.74,0.57,0.34,0.43,0.14,0.36,0.55,0.24,0.63,0.09,0.06,0.10,1.83,0.69
