user_id,ImageReward_weight,PickScore_weight,HPS_V2_weight,ensemble_baseline_score_n_correct,ensemble_baseline_score_n_incorrect,exp_decay_coef,AU4_coef,AU12_coef,diff_threshold,AUcomb_selected_CLIP_score_n_correct,AUcomb_selected_CLIP_score_n_incorrect,AUcomb_selected_Aesthetic_score_n_correct,AUcomb_selected_Aesthetic_score_n_incorrect,AUcomb_selected_BLIP_score_n_correct,AUcomb_selected_BLIP_score_n_incorrect,AUcomb_selected_ImageReward_score_n_correct,AUcomb_selected_ImageReward_score_n_incorrect,AUcomb_selected_PickScore_n_correct,AUcomb_selected_PickScore_n_incorrect,AUcomb_selected_HPS_V2_score_n_correct,AUcomb_selected_HPS_V2_score_n_incorrect,AUcomb_selected_ensemble_baseline_score_n_correct,AUcomb_selected_ensemble_baseline_score_n_incorrect,AUcomb_selected_AUcomb_valence_score_n_correct,AUcomb_selected_AUcomb_valence_score_n_incorrect,CLIP_score_n_correct,CLIP_score_n_incorrect,Aesthetic_score_n_correct,Aesthetic_score_n_incorrect,BLIP_score_n_correct,BLIP_score_n_incorrect,ImageReward_score_n_correct,ImageReward_score_n_incorrect,PickScore_n_correct,PickScore_n_incorrect,HPS_V2_score_n_correct,HPS_V2_score_n_incorrect,AUcomb_valence_score_n_correct,AUcomb_valence_score_n_incorrect,AUcomb_coef_for_ensemble_ImageReward_AUcomb_score,ensemble_ImageReward_AUcomb_score_n_correct,ensemble_ImageReward_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_PickScore_AUcomb_score,ensemble_PickScore_AUcomb_score_n_correct,ensemble_PickScore_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_HPS_V2_AUcomb_score,ensemble_HPS_V2_AUcomb_score_n_correct,ensemble_HPS_V2_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_all_score,ensemble_all_score_n_correct,ensemble_all_score_n_incorrect
001,0.1,0.6000000000000001,0.29999999999999993,103,54,0.5,0.5,0.5,0.26,24,14,16,22,20,18,26,12,30,8,25,13,31,7,29,9,93,64,72,85,88,69,94,63,112,45,95,62,75,82,7.5,91,66,6.4,109,48,5.7,100,57,5.7,106,51
005,0.1,0.6000000000000001,0.29999999999999993,25,7,0.5,0.5,0.5,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,14,18,17,15,20,12,24,8,15,17,21,11,7.6000000000000005,26,6,8.8,27,5,5.6000000000000005,16,16,5.7,26,6
006,0.1,0.6000000000000001,0.29999999999999993,69,44,1.0,0.5,0.5,0.32,1,4,2,3,3,2,3,2,4,1,2,3,4,1,2,3,61,52,60,53,52,61,57,56,68,45,65,48,58,55,7.6000000000000005,62,51,6.5,67,46,5.6000000000000005,69,44,5.7,73,40
007,0.1,0.6000000000000001,0.29999999999999993,127,46,0.5,0.5,0.5,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,62,80,93,88,85,120,53,126,47,124,49,90,83,7.6000000000000005,123,50,6.5,120,53,5.6000000000000005,123,50,5.800000000000001,128,45
008,0.1,0.6000000000000001,0.29999999999999993,79,42,0.5,0.5,0.5,0.26,14,1,10,5,9,6,10,5,12,3,10,5,14,1,9,6,70,51,64,57,59,62,67,54,78,43,73,48,64,57,7.5,72,49,8.8,70,51,5.6000000000000005,78,43,5.7,73,48
009,0.1,0.6000000000000001,0.29999999999999993,74,26,0.5,0.5,0.5,0.26,7,7,7,7,10,4,12,2,10,4,10,4,12,2,11,3,56,44,46,54,51,49,65,35,70,30,71,29,52,48,7.6000000000000005,68,32,7.5,78,22,4.4,73,27,5.7,79,21
010,0.1,0.6000000000000001,0.29999999999999993,95,47,0.5,0.5,0.5,0.26,9,3,11,1,7,5,8,4,10,2,9,3,11,1,6,6,84,58,75,67,69,73,91,51,93,49,81,61,71,71,7.6000000000000005,82,60,8.200000000000001,96,46,4.4,83,59,5.7,93,49
011,0.1,0.6000000000000001,0.29999999999999993,71,25,0.8,0.5,0.5,0.32,22,13,17,18,12,23,22,13,21,14,19,16,23,12,28,7,64,32,41,55,41,55,68,28,68,28,54,42,64,32,5.7,68,28,8.8,72,24,5.6000000000000005,62,34,5.7,72,24
012,0.1,0.6000000000000001,0.29999999999999993,25,24,0.5,0.5,0.5,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,27,22,28,21,30,19,22,27,29,20,21,28,6.2,27,22,8.9,20,29,5.6000000000000005,26,23,5.800000000000001,25,24
015,0.1,0.6000000000000001,0.29999999999999993,88,49,0.5,0.5,0.5,0.26,13,11,12,12,12,12,12,12,13,11,11,13,14,10,21,3,75,62,65,72,74,63,75,62,90,47,80,57,81,56,6.2,76,61,8.8,88,49,5.6000000000000005,80,57,5.7,91,46
