user_id,ImageReward_weight,PickScore_weight,HPS_V2_weight,ensemble_baseline_score_n_correct,ensemble_baseline_score_n_incorrect,AUs_integrated_score_n_correct,AUs_integrated_score_n_incorrect,CLIP_score_n_correct,CLIP_score_n_incorrect,Aesthetic_score_n_correct,Aesthetic_score_n_incorrect,BLIP_score_n_correct,BLIP_score_n_incorrect,ImageReward_score_n_correct,ImageReward_score_n_incorrect,PickScore_n_correct,PickScore_n_incorrect,HPS_V2_score_n_correct,HPS_V2_score_n_incorrect,AUs_coef_for_ensemble_ImageReward_AUs_score,ensemble_ImageReward_AUs_score_n_correct,ensemble_ImageReward_AUs_score_n_incorrect,AUs_coef_for_ensemble_PickScore_AUs_score,ensemble_PickScore_AUs_score_n_correct,ensemble_PickScore_AUs_score_n_incorrect,AUs_coef_for_ensemble_HPS_V2_AUs_score,ensemble_HPS_V2_AUs_score_n_correct,ensemble_HPS_V2_AUs_score_n_incorrect,AUs_coef_for_ensemble_all_score,ensemble_all_score_n_correct,ensemble_all_score_n_incorrect
001,0.1,0.6000000000000001,0.29999999999999993,103,54,98,59,93,64,72,85,88,69,94,63,112,45,95,62,2.5,100,57,2.1,108,49,1.7000000000000002,102,55,1.8,108,49
002,0.1,0.6000000000000001,0.29999999999999993,48,21,35,34,43,26,42,27,38,31,51,18,43,26,47,22,2.5,50,19,1.2000000000000002,39,30,1.7000000000000002,44,25,1.8,45,24
004,0.1,0.6000000000000001,0.29999999999999993,54,30,48,36,54,30,55,29,48,36,49,35,54,30,51,33,3.0,58,26,2.1,50,34,1.7000000000000002,51,33,1.8,55,29
005,0.1,0.6000000000000001,0.29999999999999993,25,7,18,14,16,16,14,18,17,15,20,12,24,8,15,17,2.5,24,8,1.2000000000000002,26,6,1.7000000000000002,16,16,1.8,27,5
006,0.1,0.6000000000000001,0.29999999999999993,69,44,60,53,61,52,60,53,52,61,57,56,68,45,65,48,2.5,60,53,2.0,65,48,1.7000000000000002,65,48,2.0,68,45
007,0.1,0.6000000000000001,0.29999999999999993,127,46,84,89,111,62,80,93,88,85,120,53,126,47,124,49,2.5,125,48,2.0,122,51,1.7000000000000002,125,48,1.8,128,45
008,0.1,0.6000000000000001,0.29999999999999993,79,42,69,52,70,51,64,57,59,62,67,54,78,43,73,48,2.5,70,51,2.1,76,45,1.7000000000000002,80,41,1.8,80,41
009,0.1,0.6000000000000001,0.29999999999999993,74,26,50,50,56,44,46,54,51,49,65,35,70,30,71,29,2.5,63,37,2.3000000000000003,72,28,1.7000000000000002,76,24,1.8,75,25
010,0.1,0.6000000000000001,0.29999999999999993,95,47,83,59,84,58,75,67,69,73,91,51,93,49,81,61,2.6,82,60,2.3000000000000003,98,44,1.7000000000000002,84,58,1.8,97,45
011,0.1,0.6000000000000001,0.29999999999999993,71,25,66,30,64,32,41,55,41,55,68,28,68,28,54,42,2.5,74,22,2.1,73,23,1.7000000000000002,67,29,1.9000000000000001,73,23
